Group,Step1,Question1,Tip1,Step2,Question2,Tip2,Step3,Question3,Tip3,price,image_url
3,Debris Condition,Rate the debris condition of pavement on a 1-5 Likert scale on each side of the street,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash",Pavement Condition,Rate the pavement condition on a 1–5 Likert scale on each side of the street,"Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds",Landscape Condition,Rate the condition of landscape elements on a 1-5 Likert scale on each side of the street,"Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut).",0.07,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg
3,Debris Condition,Rate the debris condition of pavement on a 1-5 Likert scale on each side of the street,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash",Pavement Condition,Rate the pavement condition on a 1–5 Likert scale on each side of the street,"Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds",Landscape Condition,Rate the condition of landscape elements on a 1-5 Likert scale on each side of the street,"Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut).",0.07,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg
3,Debris Condition,Rate the debris condition of pavement on a 1-5 Likert scale on each side of the street,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash",Pavement Condition,Rate the pavement condition on a 1–5 Likert scale on each side of the street,"Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds",Landscape Condition,Rate the condition of landscape elements on a 1-5 Likert scale on each side of the street,"Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut).",0.07,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg
3,Debris Condition,Rate the debris condition of pavement on a 1-5 Likert scale on each side of the street,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash",Pavement Condition,Rate the pavement condition on a 1–5 Likert scale on each side of the street,"Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds",Landscape Condition,Rate the condition of landscape elements on a 1-5 Likert scale on each side of the street,"Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut).",0.07,https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_90.jpg
3,Debris Condition,Rate the debris condition of pavement on a 1-5 Likert scale on each side of the street,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash",Pavement Condition,Rate the pavement condition on a 1–5 Likert scale on each side of the street,"Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds",Landscape Condition,Rate the condition of landscape elements on a 1-5 Likert scale on each side of the street,"Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut).",0.07,https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__90.jpg
3,Debris Condition,Rate the debris condition of pavement on a 1-5 Likert scale on each side of the street,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash",Pavement Condition,Rate the pavement condition on a 1–5 Likert scale on each side of the street,"Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds",Landscape Condition,Rate the condition of landscape elements on a 1-5 Likert scale on each side of the street,"Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut).",0.07,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_270.jpg
3,Debris Condition,Rate the debris condition of pavement on a 1-5 Likert scale on each side of the street,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash",Pavement Condition,Rate the pavement condition on a 1–5 Likert scale on each side of the street,"Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds",Landscape Condition,Rate the condition of landscape elements on a 1-5 Likert scale on each side of the street,"Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut).",0.07,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_90.jpg
3,Debris Condition,Rate the debris condition of pavement on a 1-5 Likert scale on each side of the street,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash",Pavement Condition,Rate the pavement condition on a 1–5 Likert scale on each side of the street,"Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds",Landscape Condition,Rate the condition of landscape elements on a 1-5 Likert scale on each side of the street,"Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut).",0.07,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_270.jpg
3,Debris Condition,Rate the debris condition of pavement on a 1-5 Likert scale on each side of the street,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash",Pavement Condition,Rate the pavement condition on a 1–5 Likert scale on each side of the street,"Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds",Landscape Condition,Rate the condition of landscape elements on a 1-5 Likert scale on each side of the street,"Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut).",0.07,https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__0.jpg
3,Debris Condition,Rate the debris condition of pavement on a 1-5 Likert scale on each side of the street,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash",Pavement Condition,Rate the pavement condition on a 1–5 Likert scale on each side of the street,"Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds",Landscape Condition,Rate the condition of landscape elements on a 1-5 Likert scale on each side of the street,"Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut).",0.07,https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_270.jpg
